#,Entorno,,Módulo,Submódulo,Funciones,Roles,,,,,,Cuantificación,,,,
,Mobile,Web,,,,Admin,Empresa,Empleado,Proveedor,Cliente,Soporte,Tiempo/días,"Personal (D, P, T)",Costo Aprox,,
1,,x,Empleados,Datos,CRUD,x,x,x,,,x,2,1,350,,
2,,x,Clientes,Datos,CRUD,x,x,,,x,x,2,1,350,,
,,,,,Agendamiento,x,x,x,,x,x,,,,,
3,,x,Proveedor / Coordinador,Datos,CRUD,x,x,,x,,x,2,1,350,,
4,,x,Configuración,Servicios,CRUD,x,x,,,,x,2,1,350,,
,,,,Subservicios,CRUD,x,x,,,,x,2,1,350,,
,,,,Tarifas,por servicio,x,x,,,,x,2,1,350,,
,,,,,por proveedor,x,x,,,,x,,,,,
,,,,,por hora,x,x,,,,x,,,,,
,,,,,por km rodamiento,x,x,,,,x,,,,,
,,,,certificados,CRUD,x,x,,,,x,2,1,350,,
5,,x,Agendamiento,Gestión,Inicio,x,x,x,x,,x,1,1,200,,
,,,,,Finalización,x,x,x,x,,x,2,1,200,,
,,,,,Solicitud,x,x,,,x,x,4,2,600,,
,,,,,Cancelación,x,x,x,x,,x,1,1,200,,
,,,,,Novedades,x,x,x,x,x,x,1,1,200,,
,,,,,Asignación,x,x,,,,x,2,1,350,,
,,,,Calendario,por día,x,x,x,x,,x,4,1,500,,
,,,,,por semana,x,x,x,x,,x,,,,,
,,,,,por mes,x,x,x,x,,x,,,,,
,,,,,por rango,x,x,x,x,,x,,,,,
,,,,Filtros,Agendadas,x,x,,,,x,4,1,650,,
,,,,,Sin Agendar,x,x,,,,x,,,,,
,,,,,Todas,x,x,,,,x,,,,,
,,,,,Canceladas,x,x,,,,x,,,,,
,,,,,En Curso,x,x,,,,x,,,,,
,,,,,Finalizadas,x,x,,,,x,,,,,
,,,,,Disponibilidad Empleados,x,x,x,,,x,,,,,
,,,,,Disponibilidad proveedores,x,x,,x,,x,,,,,
6,,x,Financiero,Liquidaciones,Horas laboradas rango de fechas segun tipo de contrato,x,x,,,,x,5,1,550,,
,,,,,Pensión de acuerdo a porcentajes legales ,x,x,,,,x,,,,,
,,,,,Vacaciones,x,x,,,,x,,,,,
,,,,,Incapacidades,x,x,,,,x,,,,,
,,,,,Auxilio de rodamiento,x,x,,,,x,,,,,
,,,,,empleados persona natural,x,x,,,,x,,,,,
7,x,x,Mensajes,Alertas,Servicios no asignados próximos a incumplimiento,x,x,,,,x,7,2,700,,
,,,,,Impuestos próximos a pagar,x,x,,,,x,,,,,
,,,,,Cita cancelada,x,x,,,,x,,,,,
,,,,,Novedades,x,x,,,,x,,,,,
,,,,,Licencias próximas a vencerse,x,x,,,,x,,,,,
,,,,Mensajes,Solicitud de servicio,x,x,x,x,x,x,,,,,
,,,,,Inicio del servicio,x,x,x,x,x,x,,,,,
,,,,,Finalización de servicio,x,x,x,x,x,x,,,,,
8,,x,Reportes,Generación,Horas pagadas por empleado,x,x,,,,x,7,1,700,,
,,,,,Horas facturadas por proveedor,x,x,,,,x,,,,,
,,,,,Reporte de Pensión 9.5% en cada pago,x,x,,,,x,,,,,
,,,,,Impuestos pagados al gobierno por parte de cada empleado,x,x,,,,x,,,,,
,,,,,Horas asignadas por cliente,x,x,,,,x,,,,,
,,,,,Vacaciones,x,x,,,,x,,,,,
,,,,,Días enfermedad empleados,x,x,,,,x,,,,,
,,,,,Historial de Incidentes reportados por clientes,x,x,,,,x,,,,,
,,,,,Facturación de servicios prestados,x,x,,,,x,,,,,
,,,,,Ausentismo de empleados,x,x,,,,x,,,,,
,,,,,Lista de impuestos que da el gobierno,x,x,,,,x,,,,,
,,,,,Reporte de servicio periódico de cada cliente,x,x,,,,x,,,,,
